startTime,task,group,team,score
1736316131025,"vbs25-kis-v-mvk2","VBS25_KISV_MVK_GRP","MediaMix1",0.0
1736316131025,"vbs25-kis-v-mvk2","VBS25_KISV_MVK_GRP","PraK1",0.0
1736316131025,"vbs25-kis-v-mvk2","VBS25_KISV_MVK_GRP","vitrivr-VR1",0.0
1736316131025,"vbs25-kis-v-mvk2","VBS25_KISV_MVK_GRP","Exquisitor1",214.50333333333333
1736316131025,"vbs25-kis-v-mvk2","VBS25_KISV_MVK_GRP","PraK5",616.4300000000001
1736316131025,"vbs25-kis-v-mvk2","VBS25_KISV_MVK_GRP","NII-UIT2",762.1516666666666
1736316131025,"vbs25-kis-v-mvk2","VBS25_KISV_MVK_GRP","PraK7",0.0
1736316131025,"vbs25-kis-v-mvk2","VBS25_KISV_MVK_GRP","SnapSeek3",0.0
1736316131025,"vbs25-kis-v-mvk2","VBS25_KISV_MVK_GRP","PraK8",765.6033333333332
1736316131025,"vbs25-kis-v-mvk2","VBS25_KISV_MVK_GRP","PraK2",743.89
1736316131025,"vbs25-kis-v-mvk2","VBS25_KISV_MVK_GRP","NII-UIT1",842.7133333333334
1736316131025,"vbs25-kis-v-mvk2","VBS25_KISV_MVK_GRP","PraK9",0.0
1736316131025,"vbs25-kis-v-mvk2","VBS25_KISV_MVK_GRP","PoliEste1",0.0
1736316131025,"vbs25-kis-v-mvk2","VBS25_KISV_MVK_GRP","VideoEase1",0.0
1736316131025,"vbs25-kis-v-mvk2","VBS25_KISV_MVK_GRP","diveXplore1",813.745
1736316131025,"vbs25-kis-v-mvk2","VBS25_KISV_MVK_GRP","PraK6",0.0
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","Eagle1",583.9178571428572
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","PoliEste2",0.0
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","VERGE2",0.0
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","ImSearch2",561.8154761904761
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","Horus1",0.0
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","VERGE1",579.0869047619047
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","ImSearch1",545.0940476190476
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","ViFi1",691.8714285714286
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","PraK4",895.4988095238095
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","NII-UIT3",751.5261904761905
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","VIREO2",0.0
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","Eagle3",584.8630952380952
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","SnapSeek2",802.3511904761905
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","PraK3",898.6214285714286
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","ViFi2",704.4892857142856
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","Horus2",0.0
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","NewsInsight1",417.2690476190477
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","diveXplore2",734.8440476190476
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","VIREO3",363.177380952381
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","NewsInsight2",440.447619047619
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","Exquisitor2",0.0
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","Eagle2",326.75714285714287
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","SnapSeek1",801.625
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","VIREO1",920.3130952380952
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","vitrivr1",841.7047619047619
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","MediaMix1",0.0
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","PraK1",773.9095238095238
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","vitrivr-VR1",914.8928571428571
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","Exquisitor1",779.697619047619
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","PraK5",785.3988095238095
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","NII-UIT2",766.2928571428571
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","PraK7",915.8964285714285
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","SnapSeek3",0.0
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","PraK8",919.2785714285715
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","PraK2",820.3464285714285
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","NII-UIT1",763.1035714285715
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","PraK9",0.0
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","PoliEste1",0.0
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","VideoEase1",900.9738095238095
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","diveXplore1",568.7428571428572
1736316533351,"vbs25-kis-c2","VBS25_KISC_GRP","PraK6",835.6547619047619
1736317028357,"vbs25-qa3","VBS25_QA_GRP","Eagle1",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","PoliEste2",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","VERGE2",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","ImSearch2",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","Horus1",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","VERGE1",655.8716666666667
1736317028357,"vbs25-qa3","VBS25_QA_GRP","ImSearch1",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","ViFi1",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","PraK4",768.5766666666667
1736317028357,"vbs25-qa3","VBS25_QA_GRP","NII-UIT3",628.65
1736317028357,"vbs25-qa3","VBS25_QA_GRP","VIREO2",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","Eagle3",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","SnapSeek2",409.99
1736317028357,"vbs25-qa3","VBS25_QA_GRP","PraK3",698.705
1736317028357,"vbs25-qa3","VBS25_QA_GRP","ViFi2",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","Horus2",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","NewsInsight1",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","diveXplore2",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","VIREO3",417.9766666666667
1736317028357,"vbs25-qa3","VBS25_QA_GRP","NewsInsight2",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","Exquisitor2",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","Eagle2",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","SnapSeek1",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","VIREO1",632.585
1736317028357,"vbs25-qa3","VBS25_QA_GRP","vitrivr1",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","MediaMix1",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","PraK1",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","vitrivr-VR1",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","Exquisitor1",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","PraK5",846.6500000000001
1736317028357,"vbs25-qa3","VBS25_QA_GRP","NII-UIT2",612.1933333333333
1736317028357,"vbs25-qa3","VBS25_QA_GRP","PraK7",535.75
1736317028357,"vbs25-qa3","VBS25_QA_GRP","SnapSeek3",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","PraK8",606.8566666666667
1736317028357,"vbs25-qa3","VBS25_QA_GRP","PraK2",598.2633333333333
1736317028357,"vbs25-qa3","VBS25_QA_GRP","NII-UIT1",706.635
1736317028357,"vbs25-qa3","VBS25_QA_GRP","PraK9",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","PoliEste1",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","VideoEase1",557.4316666666667
1736317028357,"vbs25-qa3","VBS25_QA_GRP","diveXplore1",0.0
1736317028357,"vbs25-qa3","VBS25_QA_GRP","PraK6",724.9816666666667
1736317454725,"vbs25-kis-v-lhe3","VBS25_KISV_LHE_GRP","Eagle1",0.0
1736317454725,"vbs25-kis-v-lhe3","VBS25_KISV_LHE_GRP","PoliEste2",0.0
